Ward,Rainfall,pH,Turbidity,Cases,Risk
Ward4,49,7.2181925657593204,2.077189413182065,8,Low
Ward4,34,5.598271599237932,7.087209719061507,11,Medium
Ward2,128,7.548909875883933,7.505284327231016,16,Medium
Ward3,115,6.848330313773973,5.86249503458457,13,Medium
Ward2,51,6.772877122977436,3.4476050120750155,6,Low
Ward3,190,7.476399977283635,1.3387504907117034,13,Medium
Ward2,190,6.4936872100702345,4.439771314001777,14,Medium
Ward3,40,6.058467009209992,5.246371564638371,9,Low
Ward3,88,7.901923522850368,6.982992086596795,16,Medium
Ward2,9,6.759844763205788,6.425080860180665,8,Low
Ward1,113,7.543334411375229,3.132838580245285,9,Low
Ward3,106,8.296905196569092,5.85333932139363,15,Medium
Ward3,194,7.400382502707177,3.499414592260818,15,Medium
Ward5,90,8.475520823726459,1.7009651164189954,6,Low
Ward3,155,5.98472211956827,6.840840003837826,17,Medium
Ward2,60,8.115956893572754,7.364688488057641,15,Medium
